Time Period,Trip Type,Fare Evasion
2020-Q4,Express,0.047
2021-Q1,Express,0.064
2021-Q2,Express,0.054
2021-Q3,Express,0.073
2021-Q4,Express,0.06
2022-Q1,Express,0.064
2022-Q2,Express,0.057
2022-Q3,Express,0.059
2022-Q4,Express,0.059
2023-Q1,Express,0.058
2023-Q2,Express,0.059
2023-Q3,Express,0.062
2023-Q4,Express,0.059
2024-Q1,Express,0.042
2024-Q2,Express,0.048
2024-Q3,Express,0.044
2024-Q4,Express,0.039
2025-Q1,Express,0.036
2025-Q2,Express,0.036
2025-Q3,Express,0.044
2019-Q1,Local,0.25
2019-Q2,Local,0.279
2019-Q3,Local,0.21
2019-Q4,Local,0.206
2020-Q1,Local,0.211
2020-Q2,Local,
2020-Q3,Local,
2020-Q4,Local,0.233
2021-Q1,Local,0.236
2021-Q2,Local,0.238
2021-Q3,Local,0.252
2021-Q4,Local,0.293
2022-Q1,Local,0.329
2022-Q2,Local,0.339
2022-Q3,Local,0.355
2022-Q4,Local,0.388
2023-Q1,Local,0.404
2023-Q2,Local,0.421
2023-Q3,Local,0.436
2023-Q4,Local,0.471
2024-Q1,Local,0.486
2024-Q2,Local,0.505
2024-Q3,Local,0.495
2024-Q4,Local,0.454
2025-Q1,Local,0.441
2025-Q2,Local,0.448
2025-Q3,Local,0.44
2021-Q1,SBS,0.338
2021-Q2,SBS,0.311
2021-Q3,SBS,0.321
2021-Q4,SBS,0.363
2022-Q1,SBS,0.415
2022-Q2,SBS,0.404
2022-Q3,SBS,0.431
2022-Q4,SBS,0.474
2023-Q1,SBS,0.471
2023-Q2,SBS,0.474
2023-Q3,SBS,0.501
2023-Q4,SBS,0.548
2024-Q1,SBS,0.574
2024-Q2,SBS,0.581
2024-Q3,SBS,0.546
2024-Q4,SBS,0.564
2025-Q1,SBS,0.558
2025-Q2,SBS,0.537
2025-Q3,SBS,0.512
2020-Q4,Total,0.2307
2021-Q1,Total,0.2492
2021-Q2,Total,0.2466
2021-Q3,Total,0.2599
2021-Q4,Total,0.3003
2022-Q1,Total,0.336
2022-Q2,Total,0.342
2022-Q3,Total,0.359
2022-Q4,Total,0.393
2023-Q1,Total,0.405
2023-Q2,Total,0.421
2023-Q3,Total,0.437
2023-Q4,Total,0.473
2024-Q1,Total,0.489
2024-Q2,Total,0.506
2024-Q3,Total,0.492
2024-Q4,Total,0.46
2025-Q1,Total,0.449
2025-Q2,Total,0.451
2025-Q3,Total,0.441
2025-Q4,Express,0.067
2025-Q4,Local,0.49
2025-Q4,SBS,0.545
2025-Q4,Total,0.489
